dataHora,ordem,linha,latitude,longitude,velocidade
08-22-2017 00:00:18,A27574,517,"-22.916121","-43.247688",18
08-22-2017 00:07:42,A63504,104,"-22.867661","-43.25779",0
08-22-2017 00:16:32,A41829,2012,"-22.86883","-43.258369",26
08-22-2017 00:20:43,A37555,582,"-22.90267","-43.196251",0
08-22-2017 00:23:29,D53567,,"-22.88394","-43.4949",0
08-22-2017 00:31:48,D53618,,"-22.88386","-43.495071",0
08-22-2017 00:32:51,D53572,397,"-22.88381","-43.495461",1
08-22-2017 00:35:59,D53571,,"-22.8836","-43.494652",0
08-22-2017 00:40:51,D53596,,"-22.88418","-43.495251",0
08-22-2017 00:50:26,D53666,,"-22.883751","-43.494621",0
08-22-2017 00:52:27,D53717,,"-22.88327","-43.495129",0
08-22-2017 00:52:28,D53910,,"-22.88365","-43.494671",0
08-22-2017 00:52:59,A41846,2016,"-22.867559","-43.25724",20
08-22-2017 00:56:35,D53662,923,"-22.88423","-43.49527",0
08-22-2017 00:59:20,A37666,133,"-22.899139","-43.20126",22
08-22-2017 01:00:24,D53727,,"-22.883949","-43.494659",0
08-22-2017 01:05:34,A37698,133,"-22.901751","-43.196491",0
08-22-2017 01:06:50,D53654,,"-22.884121","-43.49556",0
08-22-2017 01:07:15,A37704,584,"-22.901739","-43.19714",10
08-22-2017 01:08:02,D53725,,"-22.883801","-43.495861",0
08-22-2017 01:09:24,D53912,,"-22.883711","-43.49469",0
08-22-2017 01:21:19,D53540,,"-22.883619","-43.494659",0
08-22-2017 01:23:12,D53734,,"-22.88376","-43.49472",0
08-22-2017 01:28:16,D53609,,"-22.88382","-43.494629",0
08-22-2017 01:31:21,D53906,,"-22.88373","-43.49469",0
08-22-2017 01:37:40,D53711,,"-22.884041","-43.494759",0
08-22-2017 01:39:18,D53740,,"-22.883949","-43.494579",0
08-22-2017 01:42:28,D53745,,"-22.883711","-43.49514",0
08-22-2017 02:03:50,D53619,396,"-22.883249","-43.49551",1
08-22-2017 02:12:53,B58088,628,"-22.837061","-43.285179",0
08-22-2017 02:13:29,B58020,313,"-22.83696","-43.285191",0
08-22-2017 02:13:41,B58194,625,"-22.83758","-43.28521",0
08-22-2017 02:24:21,A48143,202,"-22.910629","-43.2705",0
08-22-2017 02:25:02,A48051,426,"-22.910738","-43.270798",0
08-22-2017 02:31:09,A48113,415,"-22.910179","-43.270992",0
08-22-2017 02:32:07,A48021,415,"-22.910637","-43.269917",0
08-22-2017 02:32:23,A48090,415,"-22.910704","-43.270905",0
08-22-2017 02:35:41,A48145,539,"-22.910505","-43.270329",0.19
08-22-2017 02:36:56,A48180,415,"-22.910656","-43.270535",0
08-22-2017 02:38:22,A48119,415,"-22.9107","-43.269691",0.19
08-22-2017 02:42:17,A48041,539,"-22.91074","-43.269444",0
08-22-2017 02:50:27,C20258,880,"-22.958101","-43.346386",0.56
08-22-2017 03:19:54,B32606,687,"-22.87381","-43.267101",38
08-22-2017 03:22:18,B11586,378,"-22.866604","-43.35635",0.56
08-22-2017 03:48:32,A41090,109,"-22.874657","-43.241497",1.85
08-22-2017 03:59:22,A48064,202,"-22.910749","-43.269444",0
08-22-2017 03:59:22,A48098,202,"-22.910761","-43.270485",0.19
08-22-2017 04:00:16,A48139,202,"-22.91074","-43.2701",0.37
08-22-2017 04:08:43,C30229,,"-22.946989","-43.360081",3
08-22-2017 04:09:46,A48110,426,"-22.910532","-43.269642",0
08-22-2017 04:25:12,A48067,117,"-22.910536","-43.269478",0.37
08-22-2017 04:26:52,A37534,581,"-22.902269","-43.19611",0
08-22-2017 04:27:20,A48174,112,"-22.910412","-43.270622",0.93
08-22-2017 04:28:01,C30237,550,"-22.94627","-43.360321",13
08-22-2017 04:29:19,B63073,,"-22.815519","-43.288651",42
08-22-2017 04:34:16,A41256,110,"-22.876368","-43.242733",39.82
08-22-2017 04:37:28,C12024,,"-22.921471","-43.68045",30
08-22-2017 04:37:50,A29044,275,"-22.868629","-43.29134",0
08-22-2017 04:42:32,A37538,581,"-22.90136","-43.19706",0
08-22-2017 04:54:12,A48075,202,"-22.909632","-43.269848",39.63
08-22-2017 05:01:53,D17083,833,"-22.873011","-43.628342",12
08-22-2017 05:02:07,C30256,,"-22.947109","-43.360779",8
08-22-2017 05:04:35,A37543,,"-22.902531","-43.197041",0
08-22-2017 05:08:33,D87503,,"-22.91577","-43.625599",46
08-22-2017 05:15:37,B32755,944,"-22.807119","-43.352188",26
08-22-2017 05:18:22,C30328,,"-22.951429","-43.34874",0
08-22-2017 05:22:19,C30078,,"-22.946289","-43.360359",0
08-22-2017 05:28:28,A37694,,"-22.90167","-43.196289",0
08-22-2017 05:28:43,A27581,432,"-23.00144","-43.364769",0
08-22-2017 05:38:03,A27535,517,"-23.00066","-43.273899",69
08-22-2017 05:39:19,C47912,,"-22.878691","-43.272209",0
08-22-2017 05:39:24,A27538,517,"-22.999491","-43.360191",54
08-22-2017 05:47:56,A48141,426,"-22.905121","-43.268822",48.52
08-22-2017 05:49:31,A27528,432,"-22.95014","-43.18401",0
08-22-2017 05:50:59,D17005,869,"-22.90226","-43.568562",13
08-22-2017 05:53:31,D53569,397,"-22.8158","-43.30077",19
08-22-2017 05:55:29,A27643,432,"-22.95009","-43.184151",0
08-22-2017 05:57:24,D87360,850,"-22.84112","-43.5256",0
08-22-2017 05:59:33,C30289,,"-22.946329","-43.360149",0
08-22-2017 06:00:26,C47932,,"-22.879259","-43.27137",31
08-22-2017 06:06:05,A48035,415,"-22.906372","-43.270054",19.26
08-22-2017 06:06:49,C13033,,"-22.88171","-43.329868",9
08-22-2017 06:08:24,C12028,,"-22.91931","-43.683739",22
08-22-2017 06:12:46,C13044,,"-22.878611","-43.468842",0
08-22-2017 06:15:28,A27672,218,"-22.92083","-43.2565",0
08-22-2017 06:17:01,D13276,926,"-22.84009","-43.308762",53
08-22-2017 06:19:17,C47884,,"-22.915371","-43.36076",0
08-22-2017 06:21:05,B44546,,"-22.85355","-43.37587",0
08-22-2017 06:25:07,C47926,,"-22.878759","-43.272362",15
08-22-2017 06:29:43,A37507,,"-22.90221","-43.196949",0
08-22-2017 06:33:30,A41861,2329,"-22.90591","-43.173561",0
08-22-2017 06:34:59,A27629,432,"-22.950319","-43.184078",0
08-22-2017 06:38:18,C30212,,"-22.946119","-43.360519",4
08-22-2017 06:38:18,C30212,,"-22.946119","-43.360519",4
08-22-2017 06:39:13,B73135,,"-22.89794","-43.18021",29
08-22-2017 06:40:43,A27684,,"-22.95756","-43.177631",48
08-22-2017 06:41:05,A41864,2018,"-22.859461","-43.247589",58
08-22-2017 06:42:22,C47589,552,"-22.93508","-43.378639",26
08-22-2017 06:43:17,D87781,,"-22.916349","-43.607189",18
08-22-2017 06:44:22,C47764,613,"-22.986309","-43.431961",62
08-22-2017 06:45:37,C13161,,"-22.87863","-43.491692",0
08-22-2017 06:47:29,A27620,433,"-22.914339","-43.205421",0
08-22-2017 06:48:13,C30023,550,"-22.983879","-43.228699",28
08-22-2017 06:51:12,A27550,439,"-22.91452","-43.1982",45
08-22-2017 06:54:44,C44593,,"-22.8241","-43.325809",19
08-22-2017 06:56:23,A37616,102,"-22.902189","-43.19664",0
08-22-2017 07:00:40,C47911,,"-22.87888","-43.272079",0
08-22-2017 07:02:27,D12169,2337,"-23.02247","-43.48196",12
08-22-2017 07:08:03,A27560,517,"-22.91572","-43.231468",14
08-22-2017 07:11:42,A41830,,"-22.812969","-43.245171",7
08-22-2017 07:12:59,C30034,565,"-23.01136","-43.309799",25
08-22-2017 07:14:07,A27665,432,"-22.916929","-43.25037",0
08-22-2017 07:16:28,A27548,,"-22.913549","-43.179531",36
08-22-2017 07:23:43,C44628,,"-22.823071","-43.326778",12
08-22-2017 07:23:54,C47902,,"-22.87908","-43.271721",0
08-22-2017 07:24:19,B42651,,"-22.876539","-43.329849",0
08-22-2017 07:25:04,C13064,,"-22.878611","-43.493259",0
08-22-2017 07:30:34,B42645,,"-22.88199","-43.331188",12
08-22-2017 07:33:44,B58138,,"-22.837311","-43.286579",0
08-22-2017 07:35:17,D12104,,"-23.020491","-43.474159",32
08-22-2017 07:36:53,C44526,,"-22.82329","-43.32653",0
08-22-2017 07:37:32,C44502,781,"-22.8314","-43.351219",48
08-22-2017 07:40:38,C30188,565,"-23.01354","-43.313148",35
08-22-2017 07:48:06,C47715,,"-22.952591","-43.349232",0
08-22-2017 07:48:43,B32573,,"-22.81739","-43.39325",0
08-22-2017 07:49:37,A27546,517,"-22.95228","-43.181938",0
08-22-2017 07:49:52,A27673,605,"-22.91923","-43.175968",48
08-22-2017 07:52:06,B73052,350,"-22.899389","-43.179649",9
08-22-2017 07:53:14,A41049,111,"-22.874666","-43.24155",0.74
08-22-2017 07:54:18,C47781,862,"-22.95163","-43.349289",14
08-22-2017 07:54:51,C30165,876,"-22.9932","-43.321239",10
08-22-2017 07:57:41,C30338,565,"-22.977871","-43.222179",0
08-22-2017 07:58:25,C30130,,"-22.875799","-43.41925",0
08-22-2017 08:04:28,B32772,,"-22.815901","-43.394772",0
08-22-2017 08:05:39,D13256,803,"-22.879511","-43.452229",40
08-22-2017 08:08:01,D87221,,"-22.918409","-43.608471",1
08-22-2017 08:10:53,C47662,,"-22.95294","-43.348942",0
08-22-2017 08:13:38,B32618,687,"-22.865311","-43.297642",41
08-22-2017 08:15:30,B42646,,"-22.876869","-43.32996",15
08-22-2017 08:15:32,D86402,843,"-22.894615","-43.53191",0
08-22-2017 08:17:56,C30232,,"-22.89887","-43.390289",43
08-22-2017 08:25:51,D12171,2802,"-23.026609","-43.461781",54
08-22-2017 08:25:56,A41440,,"-22.913374","-43.174438",0
08-22-2017 08:26:10,C41123,104,"-22.950716","-43.175987",31.48
08-22-2017 08:26:41,C47725,,"-22.95311","-43.349171",0
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:26:53,C41362,,"-23.010336","-43.349491",42.41
08-22-2017 08:27:15,A41017,,"-22.896736","-43.213745",29.45
08-22-2017 08:27:23,A41464,,"-22.986773","-43.190762",1.48
08-22-2017 08:27:23,A41464,,"-22.986773","-43.190762",1.48
08-22-2017 08:27:37,A41821,,"-22.906441","-43.175339",16
08-22-2017 08:28:16,D86405,838,"-22.894464","-43.532303",0
08-22-2017 08:28:17,C41081,,"-22.951094","-43.183285",19.45
08-22-2017 08:29:31,D53926,2310,"-22.88364","-43.495602",17
08-22-2017 08:33:52,D53920,2310,"-22.8843","-43.495338",0
08-22-2017 08:34:27,D86042,884,"-22.863693","-43.362686",16.67
08-22-2017 08:39:45,D87819,2307,"-22.918409","-43.177021",0
08-22-2017 08:44:13,D53904,2310,"-22.883289","-43.49514",0
08-22-2017 08:44:38,D53518,,"-22.883829","-43.494839",0
08-22-2017 08:46:35,D13369,790,"-22.87096","-43.414219",13
08-22-2017 08:47:26,C30068,550,"-22.983191","-43.22805",0
08-22-2017 08:48:07,C50035,302,"-22.929323","-43.253742",0.19
08-22-2017 08:50:13,C47717,862,"-22.952749","-43.350182",5
08-22-2017 08:50:56,B55141,,"-22.774679","-43.28495",0
08-22-2017 08:51:09,A41179,108,"-22.874716","-43.241631",0.19
08-22-2017 08:54:36,B63007,,"-22.79245","-43.294621",0
08-22-2017 08:56:36,A27641,548,"-22.92518","-43.17292",0
08-22-2017 08:56:59,B51649,624,"-22.895929","-43.240059",0
08-22-2017 08:58:39,C27117,775,"-22.81152","-43.301331",57
08-22-2017 08:58:48,C30185,565,"-23.010481","-43.309601",27
08-22-2017 08:59:17,B58141,,"-22.835171","-43.288921",46
08-22-2017 08:59:28,B32536,795,"-22.859261","-43.388691",0
08-22-2017 08:59:34,B55119,,"-22.803699","-43.341331",0
08-22-2017 08:59:44,C47992,2114,"-22.90551","-43.214668",0
08-22-2017 09:03:26,D53647,SR393,"-22.876989","-43.421799",11
08-22-2017 09:04:31,A63525,,"-22.7929","-43.29459",0
08-22-2017 09:06:52,A27624,432,"-22.979059","-43.230911",0
08-22-2017 09:09:59,A55095,,"-22.90605","-43.26099",0
08-22-2017 09:12:48,C47593,368,"-22.90546","-43.214561",0
08-22-2017 09:17:22,A55077,,"-22.915091","-43.250881",0
08-22-2017 09:19:33,D17090,839,"-22.93759","-43.67535",34
08-22-2017 09:20:40,C30133,,"-22.952311","-43.348438",0
08-22-2017 09:21:00,D53611,393,"-22.883329","-43.495159",0
08-22-2017 09:21:31,C30131,550,"-22.978889","-43.222771",0
08-22-2017 09:24:05,D53656,,"-22.88372","-43.495029",0
08-22-2017 09:26:40,D12174,,"-23.02079","-43.482819",0
