dataHora,ordem,linha,latitude,longitude,velocidade
08-18-2017 00:33:51,D53577,397,"-22.905121","-43.20966",0
08-18-2017 00:39:39,D53677,,"-22.884319","-43.494949",0
08-18-2017 00:58:14,D53567,,"-22.884121","-43.4953",0
08-18-2017 01:02:08,A63504,104,"-22.867399","-43.257332",16
08-18-2017 01:15:25,D53917,,"-22.88341","-43.495468",0
08-18-2017 01:17:42,D53635,,"-22.884239","-43.495449",0
08-18-2017 01:21:21,A27588,433,"-22.921049","-43.256248",0
08-18-2017 01:29:12,D53684,,"-22.88415","-43.49572",0
08-18-2017 01:32:10,D87884,2336,"-22.917179","-43.60833",0
08-18-2017 01:33:02,D53632,,"-22.88415","-43.494629",0
08-18-2017 02:10:30,B58055,312,"-22.83716","-43.28577",0
08-18-2017 02:10:56,B58211,628,"-22.83621","-43.28561",0
08-18-2017 02:10:59,A48182,426,"-22.91069","-43.269878",0.56
08-18-2017 02:11:42,B82520,,"-22.858154","-43.370998",0.19
08-18-2017 02:13:08,B31081,497,"-22.90666","-43.209412",0
08-18-2017 02:16:12,B32760,,"-22.81428","-43.382622",0
08-18-2017 02:17:34,A48105,202,"-22.910667","-43.27042",0.19
08-18-2017 02:19:52,A48125,415,"-22.910698","-43.270569",0
08-18-2017 02:22:12,A48080,202,"-22.910973","-43.270775",1.67
08-18-2017 02:22:56,A48041,539,"-22.910975","-43.270973",7.96
08-18-2017 02:25:06,A48061,415,"-22.910601","-43.271",0
08-18-2017 02:27:34,A72038,117,"-22.890051","-43.292442",0
08-18-2017 02:30:49,A48119,415,"-22.910919","-43.270519",0.37
08-18-2017 02:32:05,B32653,688,"-22.8169","-43.394138",0
08-18-2017 02:47:42,D53517,,"-22.88365","-43.495281",0
08-18-2017 02:48:23,A48110,202,"-22.910635","-43.270012",0
08-18-2017 02:52:32,C47994,2112,"-22.952221","-43.347912",0
08-18-2017 03:18:00,C50045,,"-22.960909","-43.396118",0.19
08-18-2017 03:24:40,D53626,397,"-22.88324","-43.495098",0
08-18-2017 03:47:40,A48071,539,"-22.910641","-43.269638",0.19
08-18-2017 03:50:13,D53691,397,"-22.88328","-43.495239",0
08-18-2017 03:59:19,B58033,,"-22.837509","-43.286572",1
08-18-2017 04:00:18,B32503,,"-22.81426","-43.382801",0
08-18-2017 04:02:25,C30229,,"-22.946409","-43.359959",0
08-18-2017 04:03:43,A48128,415,"-22.910707","-43.270626",0
08-18-2017 04:05:49,A48006,112,"-22.910589","-43.269321",0.19
08-18-2017 04:10:53,D53505,,"-22.98798","-43.68898",33
08-18-2017 04:16:44,B32571,399,"-22.80522","-43.364311",0
08-18-2017 04:20:16,A48093,117,"-22.910765","-43.269417",0.19
08-18-2017 04:31:55,C30136,550,"-22.946329","-43.36018",0
08-18-2017 04:43:21,A37617,,"-22.902769","-43.196159",0
08-18-2017 04:44:58,A48170,539,"-22.910774","-43.269558",0
08-18-2017 04:51:11,C47533,,"-23.00161","-43.366051",0
08-18-2017 04:51:31,A48176,202,"-22.910921","-43.27087",0.37
08-18-2017 04:51:57,C30300,,"-22.946211","-43.360519",0
08-18-2017 04:52:29,C30162,,"-22.946381","-43.360229",0
08-18-2017 04:56:22,A48038,426,"-22.910563","-43.270695",4.26
08-18-2017 05:02:09,C30298,900,"-22.94993","-43.348282",0
08-18-2017 05:05:02,C30212,558,"-22.951361","-43.34882",0
08-18-2017 05:07:20,A37549,584,"-22.90291","-43.196621",0
08-18-2017 05:08:36,C30268,,"-22.95092","-43.347919",0
08-18-2017 05:10:28,A29154,474,"-22.868191","-43.291859",0
08-18-2017 05:12:44,B42510,,"-22.88043","-43.331821",42
08-18-2017 05:15:50,B58042,313,"-22.836559","-43.28569",0
08-18-2017 05:22:38,D86134,851,"-22.893429","-43.531826",0.19
08-18-2017 05:25:54,A27607,432,"-22.920839","-43.193699",63
08-18-2017 05:26:46,B25822,,"-22.902361","-43.298641",0
08-18-2017 05:42:26,C30184,565,"-22.938589","-43.347149",0
08-18-2017 05:51:50,C47722,,"-22.92296","-43.37439",15
08-18-2017 05:56:21,A27638,,"-22.96981","-43.18924",21
08-18-2017 05:57:09,A27528,,"-22.95005","-43.184269",0
08-18-2017 05:57:12,B51611,624,"-22.876591","-43.368271",0
08-18-2017 05:59:41,A27555,517,"-22.950411","-43.18417",0
08-18-2017 06:05:32,C13077,,"-22.88171","-43.32991",0
08-18-2017 06:09:29,B32759,,"-22.81826","-43.3927",0
08-18-2017 06:11:27,D53722,819,"-22.88331","-43.495129",0
08-18-2017 06:15:33,C47904,,"-22.87932","-43.271259",14
08-18-2017 06:19:45,A27599,,"-22.95047","-43.184219",0
08-18-2017 06:31:18,C47912,,"-23.001751","-43.36554",0
08-18-2017 06:35:51,C13161,,"-22.878481","-43.491779",0
08-18-2017 06:39:41,D17064,,"-22.918449","-43.608379",0
08-18-2017 06:40:10,C30161,,"-22.946289","-43.36021",0
08-18-2017 06:40:18,B51609,624,"-22.83786","-43.36533",48
08-18-2017 06:40:23,A27618,,"-22.917191","-43.25061",0
08-18-2017 06:41:20,C13012,,"-22.878559","-43.491741",0
08-18-2017 06:47:32,A27657,,"-22.913719","-43.181011",11
08-18-2017 06:49:44,A27616,,"-23.002171","-43.365269",15
08-18-2017 06:50:13,A27598,,"-22.97908","-43.230961",30
08-18-2017 06:51:47,C12047,,"-22.90045","-43.559391",11
08-18-2017 06:55:18,B32720,2305,"-22.906851","-43.181938",17
08-18-2017 06:57:01,C12031,,"-23.000549","-43.373039",64
08-18-2017 06:59:52,C13072,,"-22.88213","-43.43988",18
08-18-2017 07:00:16,A41830,,"-22.81654","-43.24017",61
08-18-2017 07:01:12,C30344,565,"-23.011971","-43.310692",40
08-18-2017 07:03:04,C30289,550,"-22.98295","-43.227798",0
08-18-2017 07:03:29,D53740,789,"-22.88335","-43.49514",0
08-18-2017 07:05:37,C47943,,"-22.87974","-43.270401",54
08-18-2017 07:06:05,A27541,548,"-22.95079","-43.184292",0
08-18-2017 07:06:08,A27563,548,"-22.950621","-43.1842",0
08-18-2017 07:06:13,C30192,565,"-22.99267","-43.251709",0
08-18-2017 07:06:21,A27511,,"-22.95048","-43.1819",21
08-18-2017 07:07:07,B55029,,"-22.91559","-43.250919",0
08-18-2017 07:07:31,A27507,548,"-22.95056","-43.192909",1
08-18-2017 07:12:06,D53927,2310,"-22.88336","-43.494781",0
08-18-2017 07:14:33,A71582,539,"-22.930479","-43.254517",1.85
08-18-2017 07:18:41,D12104,,"-23.02516","-43.481541",0
08-18-2017 07:20:32,D87858,2336,"-22.916679","-43.608421",0
08-18-2017 07:22:18,A27587,517,"-22.9212","-43.255428",9
08-18-2017 07:22:40,C12049,,"-22.99337","-43.60828",23
08-18-2017 07:22:41,A27554,517,"-22.91976","-43.253731",0
08-18-2017 07:28:52,C47601,,"-22.951521","-43.349361",0
08-18-2017 07:32:07,C44503,,"-22.856911","-43.36599",0
08-18-2017 07:42:01,B63013,942,"-22.838051","-43.294601",21
08-18-2017 07:43:08,C44526,721,"-22.860991","-43.35553",0
08-18-2017 07:43:35,C30002,692,"-22.952999","-43.34948",13
08-18-2017 07:44:04,D87242,898,"-22.96167","-43.700008",42
08-18-2017 07:46:33,D13382,784,"-22.856621","-43.384449",30
08-18-2017 07:48:06,D87264,770,"-22.83555","-43.362011",61
08-18-2017 07:49:21,D53661,393,"-22.89707","-43.213211",57
08-18-2017 07:49:27,A27524,432,"-22.95067","-43.184029",0
08-18-2017 07:54:27,B51649,624,"-22.86315","-43.37289",22
08-18-2017 07:56:06,C44574,,"-22.854719","-43.32914",24
08-18-2017 08:07:15,A02,LECD21,"-22.841953","-43.254265",0.56
08-18-2017 08:09:09,D53929,2310,"-22.883381","-43.49472",0
08-18-2017 08:11:14,A27612,517,"-22.93375","-43.17448",24
08-18-2017 08:11:35,B32530,298,"-22.908461","-43.178242",35
08-18-2017 08:13:01,A27594,,"-22.91346","-43.180229",26
08-18-2017 08:14:10,C47921,,"-22.97818","-43.416721",14
08-18-2017 08:18:59,D53920,2310,"-22.883249","-43.49514",0
08-18-2017 08:20:37,C47552,361,"-23.000441","-43.347931",0
08-18-2017 08:21:26,A41442,,"-22.909224","-43.227703",0
08-18-2017 08:21:39,D53524,759,"-22.866051","-43.581741",56
08-18-2017 08:22:53,D53728,397,"-22.883341","-43.495159",0
08-18-2017 08:23:07,B28521,326,"-22.905251","-43.192219",9
08-18-2017 08:23:19,C47655,,"-22.97361","-43.335251",0
08-18-2017 08:23:25,D12171,,"-23.03021","-43.475578",0
08-18-2017 08:25:18,B55143,,"-22.915421","-43.251049",0
08-18-2017 08:25:43,D86040,843,"-22.894573","-43.531803",0.37
08-18-2017 08:26:52,B28543,329,"-22.786489","-43.187",36
08-18-2017 08:27:45,C47508,,"-22.952169","-43.34827",0
08-18-2017 08:30:11,A29096,,"-22.9627","-43.21122",0
08-18-2017 08:31:08,A63541,,"-22.867661","-43.258739",0
08-18-2017 08:33:43,D13084,,"-22.87602","-43.420341",0
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
08-18-2017 08:34:19,C41366,,"-23.027332","-43.463982",68.15
